"Net","Name","X Coord","Y Coord","Side","Hole Size","Type"
"NetY_5","Y-5","64.7575mm","52.0162mm","Bottom","0.9mm","Through hole"
"NetY_5","Y-6","64.7575mm","49.4762mm","Bottom","0.9mm","Through hole"
"Y-STEP","Y-7","64.7575mm","46.9362mm","Bottom","0.9mm","Through hole"
"5V_DCDC","Y-10","77.4575mm","46.9362mm","Bottom","0.9mm","Through hole"
"VIN1","Y-16","77.4575mm","62.1762mm","Bottom","0.9mm","Through hole"
"NetZ_14","Z_MOT-4","92.0457mm","71.244mm","Bottom","1mm","Through hole"
"NetZ_13","Z_MOT-3","88.5456mm","71.244mm","Bottom","1mm","Through hole"
"NetZ_12","Z_MOT-2","85.0457mm","71.244mm","Bottom","1mm","Through hole"
"NetZ_11","Z_MOT-1","81.5456mm","71.244mm","Bottom","1mm","Through hole"
"NetY_14","Y_MOT-4","76.8132mm","71.244mm","Bottom","1mm","Through hole"
"NetY_13","Y_MOT-3","73.3132mm","71.244mm","Bottom","1mm","Through hole"
"NetY_12","Y_MOT-2","69.8132mm","71.244mm","Bottom","1mm","Through hole"
"NetY_11","Y_MOT-1","66.3132mm","71.244mm","Bottom","1mm","Through hole"
"NetX_14","X_MOT-4","61.5808mm","71.244mm","Bottom","1mm","Through hole"
"NetX_13","X_MOT-3","58.0808mm","71.244mm","Bottom","1mm","Through hole"
"NetX_12","X_MOT-2","54.5808mm","71.244mm","Bottom","1mm","Through hole"
"NetX_11","X_MOT-1","51.0808mm","71.244mm","Bottom","1mm","Through hole"
"NetE1_14","E1_MOT-4","122.5105mm","71.244mm","Bottom","1mm","Through hole"
"NetE1_13","E1_MOT-3","119.0105mm","71.244mm","Bottom","1mm","Through hole"
"NetE1_12","E1_MOT-2","115.5106mm","71.244mm","Bottom","1mm","Through hole"
"NetE1_11","E1_MOT-1","112.0105mm","71.244mm","Bottom","1mm","Through hole"
"NetE0_14","E0_MOT-4","107.2781mm","71.244mm","Bottom","1mm","Through hole"
"NetE0_13","E0_MOT-3","103.7781mm","71.244mm","Bottom","1mm","Through hole"
"NetE0_12","E0_MOT-2","100.2781mm","71.244mm","Bottom","1mm","Through hole"
"NetE0_11","E0_MOT-1","96.7781mm","71.244mm","Bottom","1mm","Through hole"
"5V_DCDC","Free-9","120.2982mm","34.577mm","Bottom","0.762mm","Through hole"
"NetE2_14","E2_MOT-4","137.743mm","71.244mm","Bottom","1mm","Through hole"
"NetE2_13","E2_MOT-3","134.243mm","71.244mm","Bottom","1mm","Through hole"
